,Anio,Mes,Semana,Hora,Viajes,Viajes_M,Viajes_F,Edad_Usuario,Duracion
325,2011,4,13,12,1274,889.0,385.0,34.376766091051806,17.328283621140745
326,2011,4,13,13,1507,1048.0,459.0,34.1672196416722,17.492457420924577
327,2011,4,13,14,1709,1189.0,520.0,33.9133996489175,14.75822118197775
328,2011,4,13,15,1593,1144.0,449.0,33.56434400502197,13.687507846829899
329,2011,4,13,16,1487,1061.0,426.0,33.50773369199731,13.554057386236268
330,2011,4,13,17,1429,987.0,442.0,33.097270818754374,13.123734546302792
331,2011,4,13,18,1469,1037.0,432.0,33.13955071477196,13.86489675516223
332,2011,4,13,19,1411,1009.0,402.0,32.93763288447909,12.946810772501765
333,2011,4,13,20,1133,802.0,331.0,33.167696381288614,13.184613121506324
334,2011,4,13,21,895,630.0,265.0,32.320670391061455,12.791731843575425
335,2011,4,13,22,624,442.0,182.0,31.927884615384617,12.051522435897446
336,2011,4,13,23,418,327.0,91.0,32.32775119617225,12.35055821371611
337,2011,4,14,0,405,300.0,105.0,32.10617283950617,13.53378600823045
338,2011,4,14,1,10,10.0,,32.0,43.97333333333333
339,2011,4,14,6,513,370.0,143.0,34.5692007797271,7.346003898635484
340,2011,4,14,7,1601,1130.0,471.0,34.73891317926296,8.51831147199667
341,2011,4,14,8,3864,2817.0,1047.0,33.953416149068325,9.467003105590072
342,2011,4,14,9,4642,3487.0,1155.0,33.790392072382595,10.3703791469194
343,2011,4,14,10,2967,2134.0,833.0,34.697000337040784,11.675845410628018
344,2011,4,14,11,3004,2161.0,843.0,34.75665778961385,12.368874833555248
345,2011,4,14,12,3214,2369.0,845.0,35.28251400124456,13.75945861854387
346,2011,4,14,13,3734,2744.0,990.0,34.190680235672204,13.196036422067516
347,2011,4,14,14,4850,3547.0,1303.0,33.776082474226804,12.146766323024048
348,2011,4,14,15,4773,3530.0,1243.0,33.651372302535094,11.991479851944968
349,2011,4,14,16,4212,3132.0,1080.0,34.10660018993352,12.364502215891063
350,2011,4,14,17,3784,2750.0,1034.0,33.63345665961945,12.566455250176185
351,2011,4,14,18,4939,3544.0,1395.0,33.18768981575218,12.616727407707346
352,2011,4,14,19,5031,3611.0,1420.0,33.09719737626715,12.844732657523307
353,2011,4,14,20,3948,2869.0,1079.0,32.653242147923,13.067388551165136
354,2011,4,14,21,3180,2305.0,875.0,32.536477987421385,12.297756813417207
355,2011,4,14,22,1961,1474.0,487.0,31.896991330953597,12.176551079381293
356,2011,4,14,23,1031,812.0,219.0,32.36372453928225,12.119156159068861
357,2011,4,15,0,243,182.0,61.0,32.02880658436214,13.70404663923182
358,2011,4,15,1,12,9.0,3.0,30.416666666666668,53.15
359,2011,4,15,6,496,369.0,127.0,33.6875,6.714516129032254
